derived_ethnicity,derived_race,derived_sex,action_taken,loan_amount,interest_rate,property_value,applicant_age,income,debt_to_income_ratio,applicant_ethnicity_observed,applicant_race_observed,applicant_sex_observed,denial_reason_1
Hispanic or Latino,White,Male,1,425000,6.125,625000.0,55-64,120.0,44.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,155000,7.125,165000.0,25-34,71.0,33.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,615000,7.125,1025000.0,45-54,238.0,46.0,2,2,2,10
Hispanic or Latino,White,Female,1,155000,5.75,165000.0,<25,41.0,45.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,245000,6.125,255000.0,25-34,81.0,30.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,205000,6.25,215000.0,25-34,59.0,39.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,495000,6.125,545000.0,55-64,225.0,28.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,225000,5.375,285000.0,35-44,125.0,28.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,265000,7.25,335000.0,>74,65.0,45.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,155000,7.5,195000.0,45-54,1168.0,11.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,285000,6.625,295000.0,25-34,100.0,33.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,135000,6.875,165000.0,35-44,117.0,46.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,725000,6.125,1005000.0,55-64,412.0,29.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,265000,6.625,295000.0,25-34,120.0,46.0,2,2,2,10
Hispanic or Latino,White,Male,1,245000,5.99,255000.0,25-34,64.0,40.0,2,2,2,10
Hispanic or Latino,White,Male,1,75000,5.625,85000.0,25-34,39.0,29.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,15000,0.0,285000.0,<25,86.0,38.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Male,1,485000,5.625,565000.0,35-44,99.0,47.0,2,2,2,10
Hispanic or Latino,White,Female,1,605000,6.49,645000.0,55-64,165.0,39.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,145000,6.375,145000.0,35-44,52.0,40.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,105000,6.99,315000.0,35-44,66.0,30.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,305000,6.625,315000.0,25-34,100.0,27.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,635000,7.125,665000.0,35-44,365.0,39.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,285000,6.99,375000.0,25-34,67.0,49.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,245000,6.0,255000.0,25-34,76.0,31.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,155000,5.875,285000.0,25-34,50.0,30.0,2,2,2,10
Hispanic or Latino,White,Male,1,15000,0.0,245000.0,25-34,66.0,44.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,455000,5.99,485000.0,35-44,135.0,37.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,385000,7.625,485000.0,35-44,516.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,195000,6.75,245000.0,55-64,60.0,47.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,5000,0.0,115000.0,45-54,49.0,43.0,2,2,2,10
Hispanic or Latino,White,Male,1,25000,0.0,475000.0,<25,127.0,47.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,305000,6.875,385000.0,55-64,135.0,37.0,2,2,2,10
Hispanic or Latino,White,Female,1,215000,6.75,295000.0,25-34,90.0,41.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,275000,5.875,305000.0,25-34,81.0,33.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,95000,6.25,95000.0,55-64,45.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,95000,7.5,105000.0,55-64,135.0,0.0,2,2,2,10
Hispanic or Latino,White,Male,1,225000,5.875,245000.0,45-54,51.0,44.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,285000,5.99,335000.0,55-64,121.0,24.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,165000,5.99,175000.0,<25,49.0,49.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,525000,7.625,625000.0,55-64,134.0,43.0,2,2,2,10
Hispanic or Latino,White,Female,1,345000,6.99,435000.0,45-54,84.0,49.0,2,2,2,10
Hispanic or Latino,White,Female,1,265000,6.625,285000.0,25-34,70.0,59.0,2,2,2,10
Hispanic or Latino,White,Female,1,285000,6.375,335000.0,35-44,64.0,42.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Male,1,155000,7.625,205000.0,25-34,447.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,115000,6.75,595000.0,25-34,106.0,30.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,555000,7.375,695000.0,35-44,143.0,33.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,255000,6.99,265000.0,25-34,62.0,49.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,115000,6.5,155000.0,<25,139.0,30.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,265000,7.125,335000.0,55-64,81.0,44.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,265000,7.125,275000.0,25-34,55.0,46.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,255000,6.49,285000.0,25-34,55.0,45.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,235000,6.625,305000.0,35-44,176.0,10.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,215000,6.375,225000.0,25-34,56.0,49.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,375000,6.125,395000.0,25-34,109.0,34.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,245000,6.99,325000.0,55-64,104.0,39.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,235000,7.25,255000.0,25-34,108.0,35.0,2,2,2,10
Hispanic or Latino,White,Female,1,295000,7.125,325000.0,45-54,59.0,49.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,105000,6.5,205000.0,65-74,28.0,40.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,175000,6.75,185000.0,25-34,56.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,285000,5.49,485000.0,35-44,110.0,48.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,315000,6.875,325000.0,35-44,73.0,43.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,365000,6.75,415000.0,35-44,99.0,40.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,345000,7.375,435000.0,45-54,161.0,23.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,15000,0.0,115000.0,25-34,44.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,265000,6.625,285000.0,65-74,89.0,48.0,2,2,2,10
Hispanic or Latino,White,Male,1,305000,6.99,405000.0,<25,99.0,49.0,2,2,2,10
Hispanic or Latino,White,Male,1,155000,6.875,275000.0,55-64,81.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,275000,6.375,335000.0,25-34,111.0,21.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,105000,6.875,155000.0,35-44,74.0,30.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,435000,7.875,455000.0,35-44,130.0,37.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,155000,6.25,255000.0,45-54,152.0,36.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,5000,0.0,65000.0,25-34,42.0,44.0,2,2,2,10
Hispanic or Latino,White,Male,1,145000,6.75,155000.0,<25,60.0,38.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,15000,0.0,225000.0,45-54,79.0,39.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,555000,4.75,625000.0,35-44,150.0,41.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,215000,6.99,285000.0,55-64,109.0,31.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,315000,6.75,335000.0,35-44,85.0,49.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,125000,7.0,335000.0,35-44,47.0,38.0,2,2,2,10
Hispanic or Latino,White,Female,1,205000,6.5,215000.0,<25,65.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,95000,6.125,215000.0,>74,35.0,39.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Male,1,505000,5.5,535000.0,25-34,145.0,46.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,95000,6.125,125000.0,35-44,41.0,34.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,415000,7.375,595000.0,65-74,130.0,55.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Male,1,75000,5.875,85000.0,25-34,45.0,20.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,385000,7.625,405000.0,55-64,196.0,22.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,45000,5.375,435000.0,55-64,34.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,195000,4.99,405000.0,35-44,120.0,39.0,2,2,2,10
Hispanic or Latino,White,Female,1,335000,7.5,355000.0,25-34,168.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,275000,7.25,285000.0,25-34,57.0,49.0,2,2,2,10
Hispanic or Latino,White,Female,1,285000,6.624,335000.0,25-34,75.0,55.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,335000,7.125,475000.0,25-34,74.0,46.0,2,2,2,10
Hispanic or Latino,White,Female,1,265000,6.75,325000.0,45-54,120.0,45.0,2,2,2,10
Hispanic or Latino,White,Male,1,245000,6.5,255000.0,25-34,60.0,39.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,355000,7.5,375000.0,45-54,95.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,375000,6.75,465000.0,25-34,93.0,39.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,85000,6.75,95000.0,<25,39.0,22.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,305000,6.625,385000.0,25-34,118.0,24.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Male,1,405000,6.49,435000.0,45-54,129.0,33.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,85000,6.625,85000.0,45-54,118.0,2.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,1955000,6.75,2605000.0,35-44,662.0,40.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,155000,7.5,165000.0,35-44,126.0,43.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,205000,6.125,275000.0,25-34,102.0,27.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,275000,6.875,365000.0,35-44,270.0,21.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,105000,7.125,135000.0,35-44,173.0,23.0,2,2,2,10
Hispanic or Latino,White,Male,1,165000,6.25,205000.0,35-44,43.0,39.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,375000,5.875,395000.0,35-44,186.0,48.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,115000,6.25,195000.0,25-34,51.0,25.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,105000,6.5,125000.0,35-44,79.0,32.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,195000,7.875,285000.0,45-54,145.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,195000,5.875,315000.0,35-44,45.0,38.0,2,2,2,10
Hispanic or Latino,White,Female,1,105000,6.75,255000.0,35-44,63.0,49.0,2,2,2,10
Hispanic or Latino,White,Male,1,625000,6.875,965000.0,55-64,186.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,65000,6.75,75000.0,45-54,158.0,25.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Male,1,415000,6.75,465000.0,45-54,87.0,49.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,215000,7.5,395000.0,45-54,105.0,38.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,315000,7.0,385000.0,35-44,80.0,47.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,355000,7.125,505000.0,35-44,83.0,40.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,235000,6.875,295000.0,25-34,98.0,31.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,445000,7.25,525000.0,25-34,530.0,7.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,155000,6.0,455000.0,25-34,106.0,48.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,915000,6.625,1305000.0,65-74,240.0,37.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,215000,6.875,225000.0,<25,55.0,37.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,385000,8.125,535000.0,55-64,149.0,37.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,115000,5.75,215000.0,65-74,25.0,47.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,105000,7.125,125000.0,45-54,138.0,47.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,105000,6.75,395000.0,35-44,36.0,36.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,25000,7.375,475000.0,35-44,120.0,47.0,2,2,2,10
Hispanic or Latino,White,Female,1,445000,6.625,555000.0,25-34,140.0,31.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,585000,7.25,975000.0,45-54,265.0,31.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,25000,0.0,445000.0,35-44,127.0,38.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,335000,6.625,425000.0,55-64,96.0,39.0,2,2,2,10
Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,1,65000,6.625,85000.0,35-44,167.0,34.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,5000,0.0,55000.0,45-54,61.0,37.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,315000,7.125,325000.0,25-34,64.0,47.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,95000,7.0,95000.0,45-54,43.0,26.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,325000,7.625,415000.0,35-44,75.0,49.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,215000,7.5,275000.0,45-54,52.0,45.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,5000,0.0,195000.0,25-34,77.0,30.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,225000,5.99,245000.0,55-64,62.0,48.0,2,2,2,10
Hispanic or Latino,White,Female,1,295000,6.625,375000.0,45-54,60.0,58.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,185000,6.375,205000.0,25-34,67.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,15000,0.0,215000.0,35-44,86.0,53.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,215000,6.5,495000.0,25-34,118.0,16.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,175000,6.625,245000.0,55-64,67.0,33.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,105000,5.5,405000.0,35-44,107.0,17.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,235000,6.125,275000.0,35-44,54.0,47.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,255000,6.875,315000.0,25-34,73.0,44.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,485000,6.99,515000.0,55-64,239.0,38.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,205000,5.625,265000.0,25-34,61.0,48.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,455000,6.375,485000.0,25-34,124.0,34.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,615000,6.0,765000.0,45-54,110.0,46.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,385000,6.625,425000.0,25-34,85.0,49.0,2,2,2,10
Hispanic or Latino,White,Male,1,205000,6.99,235000.0,25-34,69.0,38.0,2,2,2,10
Hispanic or Latino,White,Male,1,355000,6.99,445000.0,35-44,117.0,43.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,555000,6.499,585000.0,25-34,140.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,125000,7.0,135000.0,25-34,52.0,40.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,265000,6.5,355000.0,25-34,70.0,31.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,75000,5.875,105000.0,25-34,45.0,37.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,5000,0.0,215000.0,25-34,79.0,12.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,245000,6.375,395000.0,25-34,69.0,36.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,15000,0.0,145000.0,<25,44.0,39.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,345000,6.5,425000.0,25-34,130.0,25.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Male,1,515000,5.5,645000.0,35-44,214.0,38.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,195000,6.5,225000.0,<25,55.0,48.0,2,2,2,10
Hispanic or Latino,White,Male,1,75000,6.75,75000.0,35-44,35.0,44.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,165000,5.875,205000.0,25-34,58.0,45.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,15000,0.0,175000.0,25-34,95.0,24.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,365000,6.375,415000.0,25-34,95.0,37.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,15000,5.875,225000.0,25-34,78.0,55.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,285000,6.375,365000.0,25-34,71.0,40.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,155000,6.5,205000.0,45-54,213.0,41.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,325000,7.375,345000.0,25-34,93.0,37.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,525000,6.625,655000.0,35-44,114.0,46.0,2,2,2,10
Hispanic or Latino,White,Male,1,325000,6.49,325000.0,25-34,62.0,46.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,565000,7.99,775000.0,25-34,261.0,29.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,265000,6.99,295000.0,25-34,99.0,24.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Male,1,45000,6.125,65000.0,25-34,212.0,41.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,595000,6.625,665000.0,35-44,155.0,37.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,105000,6.25,115000.0,25-34,34.0,45.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,285000,7.375,305000.0,25-34,99.0,48.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,215000,6.99,315000.0,25-34,74.0,49.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,445000,6.49,495000.0,35-44,135.0,39.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,245000,6.75,265000.0,55-64,65.0,43.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,185000,6.5,285000.0,25-34,36.0,48.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,175000,6.75,185000.0,25-34,65.0,33.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,95000,6.0,145000.0,45-54,53.0,37.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,315000,7.0,325000.0,35-44,90.0,34.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,195000,5.875,285000.0,35-44,355.0,7.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,165000,6.5,165000.0,25-34,78.0,33.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,405000,7.5,505000.0,55-64,280.0,20.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,655000,6.125,815000.0,25-34,213.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,305000,6.75,385000.0,25-34,79.0,49.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,655000,6.125,725000.0,25-34,290.0,25.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,5000,0.0,295000.0,65-74,69.0,31.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,495000,7.5,525000.0,45-54,167.0,31.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,295000,7.5,445000.0,45-54,210.0,38.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,125000,7.25,305000.0,45-54,87.0,40.0,2,2,2,10
Hispanic or Latino,American Indian or Alaska Native,Male,1,185000,6.375,195000.0,25-34,64.0,32.0,2,2,2,10
Hispanic or Latino,White,Male,1,285000,6.75,465000.0,35-44,55.0,47.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,5000,0.0,125000.0,<25,39.0,35.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,425000,6.75,505000.0,55-64,243.0,22.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,175000,6.875,185000.0,<25,53.0,45.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,255000,5.75,1255000.0,55-64,120.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,365000,7.125,515000.0,45-54,145.0,51.0,2,2,2,10
Hispanic or Latino,White,Female,1,295000,6.375,305000.0,35-44,71.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,315000,6.625,425000.0,35-44,289.0,38.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,425000,7.125,455000.0,25-34,115.0,38.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,725000,7.625,1155000.0,45-54,700.0,39.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,195000,6.375,295000.0,35-44,45.0,48.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,175000,6.25,275000.0,55-64,43.0,44.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,145000,6.125,155000.0,25-34,45.0,47.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,155000,7.5,165000.0,35-44,112.0,32.0,2,2,2,10
Hispanic or Latino,White,Female,1,305000,6.625,315000.0,25-34,95.0,35.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,65000,7.0,65000.0,25-34,41.0,43.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,235000,5.875,295000.0,25-34,86.0,41.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,345000,6.49,385000.0,25-34,125.0,22.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,5000,0.0,195000.0,55-64,64.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,365000,6.375,455000.0,45-54,145.0,60.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,85000,6.75,105000.0,25-34,110.0,30.0,2,2,2,10
Hispanic or Latino,White,Male,1,5000,0.0,165000.0,35-44,36.0,39.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,535000,5.25,595000.0,25-34,161.0,36.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,445000,6.99,555000.0,35-44,146.0,37.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,215000,7.625,225000.0,35-44,79.0,48.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,245000,6.625,325000.0,25-34,55.0,47.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,315000,7.25,325000.0,25-34,100.0,47.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,165000,6.25,355000.0,35-44,54.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,285000,6.99,295000.0,65-74,154.0,43.0,2,2,2,10
Hispanic or Latino,White,Male,1,175000,6.625,185000.0,35-44,50.0,45.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,205000,6.499,355000.0,35-44,62.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,195000,6.25,495000.0,55-64,60.0,45.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,75000,6.5,115000.0,55-64,28.0,33.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Male,1,5000,0.0,335000.0,25-34,77.0,27.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,205000,6.375,455000.0,55-64,55.0,46.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,145000,5.375,225000.0,45-54,59.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,165000,5.75,175000.0,35-44,50.0,45.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,195000,5.99,245000.0,65-74,195.0,22.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,145000,6.125,215000.0,25-34,160.0,44.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,265000,6.125,365000.0,25-34,56.0,49.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,335000,6.5,485000.0,55-64,81.0,43.0,2,2,2,10
Hispanic or Latino,Asian,Male,1,265000,6.5,625000.0,45-54,231.0,11.0,2,2,2,10
Hispanic or Latino,White,Male,1,375000,6.99,395000.0,65-74,87.0,45.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,405000,6.75,515000.0,25-34,149.0,22.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,335000,6.125,355000.0,25-34,116.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,285000,6.875,385000.0,35-44,121.0,49.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,245000,5.99,275000.0,25-34,112.0,23.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,25000,0.0,425000.0,35-44,104.0,48.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,485000,6.99,605000.0,55-64,394.0,3.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,155000,6.25,165000.0,<25,52.0,39.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,105000,6.25,115000.0,65-74,74.0,31.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,495000,6.375,735000.0,35-44,114.0,40.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,525000,5.125,655000.0,35-44,145.0,20.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,245000,6.875,255000.0,<25,147.0,46.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,45000,6.75,55000.0,25-34,30.0,30.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,185000,6.125,195000.0,35-44,74.0,34.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,165000,6.99,215000.0,35-44,66.0,40.0,2,2,2,10
Hispanic or Latino,White,Male,1,125000,6.875,375000.0,35-44,58.0,28.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,325000,6.99,425000.0,65-74,79.0,49.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,225000,6.625,235000.0,<25,42.0,56.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,155000,6.75,155000.0,25-34,50.0,33.0,2,2,2,10
Hispanic or Latino,White,Female,1,555000,6.625,695000.0,35-44,165.0,37.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,155000,6.625,155000.0,<25,223.0,34.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,225000,6.99,245000.0,35-44,69.0,49.0,2,2,2,10
Hispanic or Latino,White,Male,1,405000,6.125,455000.0,45-54,106.0,32.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,1175000,6.625,2275000.0,55-64,83.0,40.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,365000,6.99,485000.0,35-44,90.0,49.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,65000,5.75,355000.0,45-54,94.0,48.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,555000,6.375,655000.0,>74,181.0,42.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,565000,7.75,605000.0,35-44,180.0,36.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,85000,6.25,95000.0,45-54,20.0,41.0,2,2,2,10
